Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad_jump,3Cone,Shuttle,Draft_round
Kris Abrams.Draine,CB,5.11,179,4.44,33.5,,,,,5
Isaiah Adams,G,6.4,315,5.22,24.5,,102,7.77,4.73,3
Rasheen Ali,RB,5.11,206,,,,,,,5
Erick All,TE,6.4,252,,,,,,,4
Braelon Allen,RB,6.1,235,,32,26,117,,,4
Joe Alt,OT,6.9,321,5.05,28,,112,7.31,4.51,1
Kiran Amegadjie,OT,6.5,323,,,,,,,8
Daijahn Anthony,SAF,6,195,4.55,37,,116,,,7
Terrion Arnold,CB,6,189,4.5,37,,129,,,1
Gottlieb Ayedze,G,6.4,308,5.01,26.5,,112,,,8
Emani Bailey,RB,5.7,202,4.61,33.5,,116,,,8
Javon Baker,WR,6.1,202,4.54,37,,121,,,4
AJ Barner,TE,6.6,251,,,,,,,4
Karsen Barnhart,G,6.5,306,5.21,29.5,,111,7.83,4.7,8
Michael Barrett,LB,5.11,233,,,,,,,7
Graham Barton,C,6.5,313,,,,,,,1
Cooper Beebe,G,6.3,322,5.03,27.5,,109,7.44,4.61,3
Jaheim Bell,TE,6.2,241,4.61,35,,124,,,7
Trey Benson,RB,6,216,4.39,33.5,,122,,,3
JD Bertrand,LB,6.1,235,,,20,,,,5
Tatum Bethune,LB,6,229,,,16,,,,7
Keaton Bills,G,6.5,321,5.38,29.5,,101,7.95,4.9,8
Cole Bishop,SAF,6.2,206,4.45,39,,124,,,2
Austin Booker,EDGE,6.5,240,4.79,32.5,,120,,,5
Tanor Bortolini,C,6.4,303,4.94,32.5,,112,7.16,4.28,8
Brock Bowers,TE,6.3,243,,,,,,,1
Beau Brade,SAF,6,203,,,,,,,8
Millard Bradford,SAF,5.11,191,4.42,38.5,15,124,,,8
Chris Braswell,EDGE,6.3,251,4.6,33.5,,115,,,2
Jonathon Brooks,RB,6,216,,,,,,,2
Jarvis Brownlee,CB,5.1,194,,,,,,,5
Javon Bullard,SAF,5.11,198,4.47,,,,,,2
Calen Bullock,SAF,6.2,188,4.48,,,,,,3
Jermaine Burton,WR,6,196,4.45,38.5,,133,,,3
Solomon Byrd,EDGE,6.3,255,,,,,,,8
Jaylon Carlies,SAF,6.3,227,4.5,32.5,20,125,,,5
Caelen Carson,CB,6,199,,,,,,,5
DeWayne Carter,DT,6.2,302,4.99,32,,109,7.95,4.75,3
Aaron Casey,LB,6.1,231,4.75,30,16,117,,,8
Nelson Ceaser,EDGE,6.3,254,,31,22,,7.3,4.57,8
Steele Chambers,LB,6.1,226,,33.5,,112,7.13,4.23,8
Javion Cohen,G,6.4,324,,26.5,,104,,,8
Jalen Coker,WR,6.1,208,4.57,42.5,,128,,,8
Andrew Coker,OT,6.7,315,5.36,25.5,,94,7.95,4.93,8
Myles Cole,EDGE,6.6,278,4.67,35,,120,,,7
Brandon Coleman,G,6.5,313,4.99,34,,114,,,3
Keon Coleman,WR,6.3,213,4.61,38,,127,,,2
Junior Colson,LB,6.2,238,,,,,,,3
Ryan Cooper,CB,5.11,184,,,,,,,8
Edgerrin Cooper,LB,6.2,230,4.51,34.5,,118,,,2
Malachi Corley,WR,5.11,215,,,,,,,3
Blake Corum,RB,5.8,205,4.53,35.5,27,,6.82,4.12,3
Jacob Cowing,WR,5.8,168,4.38,36,,119,7.02,4.32,4
Frank Crum,OT,6.8,313,4.94,31.5,,114,7.39,4.73,8
Jaden Crumedy,DT,6.4,301,4.97,29.5,,105,,4.66,6
Devin Culp,TE,6.3,231,4.47,,,,,,7
Jayden Daniels,QB,6.4,210,,,,,,,1
Anim Dankwah,OT,6.8,353,,27.5,,,,,8
Isaiah Davis,RB,6,218,4.57,34.5,23,119,,,8
Re'Mahn Davis,RB,5.8,211,4.52,35,,119,,4.51,8
Tyler Davis,DT,6.2,301,5.02,28.5,29,108,,5,6
Cooper DeJean,CB,6.1,203,,,,,,,2
Kalen DeLoach,LB,6,210,4.47,30.5,,119,,,8
Marlon Devonshire,CB,5.11,186,4.45,38.5,,124,7.12,4.35,8
Marcellas Dial,CB,6,190,4.46,40.5,,129,,,6
John Dixon,CB,5.11,188,,,,,,,8
Brandon Dorlus,EDGE,6.3,283,4.85,30.5,,111,7.43,4.85,4
Willie Drew,CB,6,191,4.46,,13,,,,8
Ethan Driskell,OT,6.8,313,,,,,,,8
Khalid Duke,EDGE,6.3,246,4.79,34,21,117,,,8
Justin Eboigbe,DT,6.4,297,5.18,28,,,,,4
Sevarian Edwards,RB,5.1,207,,,,114,,,8
Kingsley Eguakun,C,6.4,304,,,,,,,8
Tommy Eichenberg,LB,6.2,233,,32.5,,116,,4.24,5
Jonah Elliss,EDGE,6.2,248,,,,,,,3
Audric Estimé,RB,5.11,221,4.71,38,23,125,,,5
Josiah Ezirim,OT,6.6,329,,,,,,,8
Olumuyiwa Fashanu,OT,6.6,312,5.11,32,,109,,,8
Troy Fautanu,OT,6.4,317,5.01,32.5,,113,,,1
Blake Fisher,OT,6.6,310,5.2,28,,114,7.76,4.73,2
Braden Fiske,DT,6.4,292,4.78,33.5,26,117,,4.37,2
Jeremy Flax,OT,6.6,343,5.64,28,,100,,,8
Ryan Flournoy,WR,6.1,202,4.44,39.5,19,132,,,8
Jaylan Ford,LB,6.2,240,,33.5,,121,,,5
Javon Foster,OT,6.6,313,5.3,32.5,,106,,,4
Troy Franklin,WR,6.2,176,4.41,39,,124,6.9,4.31,4
Zach Frazier,C,6.3,313,,,,,,,2
Taliese Fuaga,OT,6.6,324,5.13,32,,111,,,1
X'Zauvea Gadlin,G,6.3,322,5.5,24,,96,8.26,4.97,8
Nicholas Gargiulo,C,6.5,318,5.25,32.5,,101,7.33,,8
Easton Gibbs,LB,6,232,4.73,31.5,,109,,,8
Delmar Glaze,OT,6.4,315,5.21,25.5,,104,,,3
Matthew Goncalves,OT,6.6,327,,,,,,,8
Franklin Gore,RB,5.8,201,,,12,,,,8
Anthony Gould,WR,5.8,174,4.39,39.5,,129,,4.16,5
Tylan Grable,OT,6.6,306,4.95,36.5,,117,,,6
Cedric Gray,LB,6.2,234,4.64,35.5,17,120,,,4
Renardo Green,CB,6,186,4.49,37.5,,130,,,2
Garret Greenfield,OT,6.6,311,5.22,38.5,,113,7.76,4.85,8
Lideatrick Griffin,WR,5.1,181,4.43,35.5,,124,7,4.35,8
Isaac Guerendo,RB,6,221,4.33,41.5,,129,6.94,4.15,4
Tyler Guyton,OT,6.8,322,5.19,34.5,,107,7.5,4.71,1
Kamal Hadden,CB,6.1,196,,,,,,,6
Gabriel Hall,DT,6.6,291,5.03,31.5,,115,7.65,4.67,8
Dominique Hampton,SAF,6.2,215,4.51,39,,122,6.83,4.14,5
C.J. Hanson,G,6.5,300,5,33.5,,115,,,8
Myles Harden,CB,5.11,195,4.5,35.5,13,118,6.88,3.98,8
Daequan Hardy,CB,5.9,179,4.38,42.5,,126,,,6
Jaylen Harrell,EDGE,6.4,250,,37,,118,,,7
Marcus Harris,DT,6.2,286,5.06,29.5,27,103,,,7
Marvin Harrison,WR,6.3,209,,,,,,,1
Cam Hart,CB,6.3,202,4.5,39.5,11,130,7.12,4.24,5
Sam Hartman,QB,6.1,211,4.8,28.5,,109,7.19,4.34,8
Christian Haynes,G,6.3,317,5.03,33,,102,,,3
LaDarius Henderson,G,6.4,309,,,,,,,7
Jaden Hicks,SAF,6.2,211,,37.5,16,122,6.88,4.37,4
George Holani,RB,5.1,208,4.52,39,24,127,,4.33,8
Dallin Holker,TE,6.3,241,4.78,32.5,,122,6.83,4.21,8
Ty'Ron Hopper,LB,6.2,231,,,,,,,3
Jalyx Hunt,EDGE,6.4,252,4.64,37.5,19,128,,,8
Jontrey Hunter,LB,6.2,236,,32,,111,,,8
Byron Murphy II,DT,6.1,297,4.87,33,28,111,,,8
Bucky Irving,RB,5.9,192,4.55,29.5,,115,,,4
Adisa Isaac,EDGE,6.4,247,4.74,34.5,,123,,,3
Brennan Jackson,EDGE,6.4,264,4.69,33.5,21,114,,,5
Jha'Quan Jackson,WR,5.9,188,4.42,32,12,118,,,6
Khyree Jackson,CB,6.4,194,4.5,36.5,,133,,,4
McKinnley Jackson,DT,6.2,326,5.26,23,,106,,,3
Curtis Jacobs,LB,6.1,241,4.58,35,18,124,,,8
DJ James,CB,6,175,4.42,,,,,,8
Javontae Jean-Baptiste,EDGE,6.5,239,4.66,34.5,,127,,,7
Trajan Jeffcoat,EDGE,6.4,266,4.69,31.5,21,120,,,8
Jordan Jefferson,DT,6.3,313,,31,34,104,,,4
Kris Jenkins,DT,6.3,299,4.91,30,29,115,,4.78,2
Theodore Johnson,TE,6.6,259,4.57,39.5,,125,7.15,4.19,8
Carlton Johnson,CB,5.11,173,,,,,,,8
Cedric Johnson,EDGE,6.3,260,4.63,38,25,122,,,6
Cornelius Johnson,WR,6.3,212,4.44,37.5,,127,,,7
Dillon Johnson,RB,6,217,4.68,31.5,,117,,,8
Isaiah Johnson,CB,6.3,205,4.64,38.5,,129,,,8
Christian Jones,OT,6.5,305,5.04,,,,8.09,4.78,5
Elijah Jones,CB,6.2,185,4.44,42.5,,131,,,3
Jarrian Jones,CB,6,190,4.38,39.5,,129,,,3
Matthew Jones,G,6.4,316,5.21,28,,103,8.19,,8
Trente Jones,G,6.4,305,5.17,27,,109,7.78,4.87,8
Jawhar Jordan,RB,5.1,193,4.56,,,,,,6
Michael Hall Jr.,DT,6.3,290,,,,,,,2
Michael Penix Jr.,QB,6.2,216,,,,,,,1
Ennis Rakestraw Jr.,CB,5.11,183,4.51,,,120,,,2
Tyrone Tracy Jr.,RB,5.11,209,4.48,40,,124,6.81,4.06,5
Jeremiah Trotter Jr.,LB,6,228,,,21,,7.13,4.4,5
Mohamed Kamara,EDGE,6.1,248,4.57,34.5,23,123,,,5
Joshua Karty,K,6.2,207,,,,,,,6
Trevor Keegan,G,6.5,310,5.24,30.5,,107,,,5
Jaylen Key,SAF,6.1,208,4.6,36.5,,130,,,7
Kamren Kinchens,SAF,5.11,203,4.65,35,,110,,,3
Kalen King,CB,5.11,191,4.61,37,,122,,4.16,7
Jarrett Kingston,G,6.4,306,5.02,31.5,,111,7.53,4.47,6
Marshawn Kneeland,EDGE,6.3,267,4.75,35.5,21,119,7.02,4.18,2
Tyrice Knight,LB,6.1,233,4.63,34.5,21,119,7.25,4.4,4
Trey Knox,TE,6.3,240,,32.5,,121,7.09,4.54,8
Kamari Lassiter,CB,6,186,,,,,6.62,4.12,2
Brady Latham,G,6.5,304,5.31,29,,110,7.57,4.47,8
JC Latham,OT,6.6,342,,,,,,,1
Laiatu Latu,EDGE,6.5,259,4.64,32,,116,,,1
Dylan Laube,RB,5.1,206,4.54,37,23,118,6.84,4.02,8
Sataoa Laumea,G,6.4,319,,26,,104,,,6
Devin Leary,QB,6.1,215,,,,,,,6
Matt Lee,C,6.4,301,5.03,31,,111,,,8
Logan Lee,DT,6.5,281,5.05,31.5,25,114,7.16,4.37,6
Xavier Legette,WR,6.1,221,4.39,40,,126,,,1
Kaitori Leveston,G,6.4,326,5.38,27.5,,108,,4.89,8
Beaux Limmer,C,6.5,302,5.22,36.5,,110,7.47,4.57,6
Cam Little,K,6.1,172,,,,,,,6
Marist Liufau,LB,6.2,234,4.64,,,,,,3
MarShawn Lloyd,RB,5.9,220,4.46,36,25,118,,,3
Zion Logue,DT,6.6,314,5.14,29,,109,,4.92,6
Jordan Magee,LB,6.1,228,4.55,35.5,,124,,,5
Christian Mahogany,G,6.3,314,5.13,32.5,,109,7.81,4.53,6
Drake Maye,QB,6.4,223,,,,,,,1
Luke McCaffrey,WR,6.2,198,4.46,36,,121,6.7,4.02,3
J.J. McCarthy,QB,6.3,219,,,,,6.82,4.23,1
Jase McClellan,RB,5.1,221,,,20,,,,6
Ladd McConkey,WR,6,186,4.39,36,13,124,,,2
Mason McCormick,G,6.4,309,5.08,35.5,,117,7.59,4.45,8
Dwight McGlothern,CB,6.2,185,4.47,32,,115,,,8
Braiden McGregor,EDGE,6.5,257,,,,,,,8
Kool.Aid McKinstry,CB,6,199,,,,,,,2
Tanner McLachlan,TE,6.5,244,4.61,35,,117,,,6
Dylan McMahon,C,6.3,299,5.1,33,,115,7.26,4.33,6
Jalen McMillan,WR,6.1,197,4.47,37,,127,6.94,4.18,3
Patrick McMorris,SAF,6,207,,31,14,112,,,8
Bub Means,WR,6.1,212,4.43,39.5,19,122,,,5
Max Melton,CB,5.11,187,4.39,40.5,,136,,,2
Harrison Mevis,K,6,241,,,,,,,8
Joe Milton,QB,6.5,235,,35,,121,,,6
Kendall Milton,RB,6.2,225,4.62,35.5,18,124,,4.38,8
Amarius Mims,OT,6.8,340,5.07,25.5,,111,,,1
Adonai Mitchell,WR,6.2,205,4.34,39.5,,136,,,2
Quinyon Mitchell,CB,6,195,4.33,38,20,122,,,1
Jacob Monk,C,6.3,308,5.09,29.5,,108,,,5
Jordan Morgan,OT,6.5,311,5.04,28,,110,,,1
Darius Muasau,LB,6,225,4.7,36.5,,117,,,6
Gabriel Murphy,EDGE,6.2,247,4.68,39.5,25,123,,,8
Myles Murphy,DT,6.4,309,5.2,28.5,,106,,4.81,8
Malik Mustapha,SAF,5.1,209,,,22,,,,4
Malik Nabers,WR,6,200,,,,,,,1
Jer'Zhan Newton,DT,6.2,304,,,,,,,2
Josh Newton,CB,5.11,190,4.51,34,15,124,,4.15,5
Bo Nix,QB,6.2,214,,,,,,,1
Maema Njongmeta,LB,6,229,4.91,,,,,4.66,8
Hunter Nourzad,C,6.3,317,,,,,,,5
Tyler Nubin,SAF,6.1,199,,,,,,,2
Drake Nugent,C,6.2,298,5.23,29.5,,101,7.33,4.5,8
Rome Odunze,WR,6.3,212,4.45,39,,124,6.88,4.03,1
Eyabi Okie-Anoma,EDGE,6.5,260,,,,,,,8
Olakitan Oladapo,SAF,6.2,216,4.58,36,15,117,,,8
Ruke Orhorhoro,DT,6.4,294,4.89,32,29,116,,,2
Tyler Owens,SAF,6.2,216,,41,,146,,,8
Patrick Paul,OT,6.8,331,5.13,29,,,7.65,,2
Julian Pearl,OT,6.6,312,,,,,,,8
Ricky Pearsall,WR,6.1,189,4.41,42,17,129,6.64,4.05,1
Andru Phillips,CB,5.11,190,4.48,42,,135,,,3
Prince Pines,G,6.5,322,5.34,30,,,,,8
Ja'Lynn Polk,WR,6.1,203,4.52,37.5,,129,,,2
Jackson Powers-Johnson,C,6.3,328,,32,,104,,,2
Sedrick Van Pran-Granger,C,6.4,298,5.2,,,,7.46,4.82,8
Michael Pratt,QB,6.3,217,,36,,114,7.2,4.23,7
Deantre Prince,CB,6,183,4.38,34.5,,125,,,5
Nehemiah Pritchett,CB,6,190,4.36,34.5,,,,,5
Josh Proctor,SAF,6.2,199,4.55,32.5,,121,,,8
Dominick Puni,G,6.5,313,5.35,30,,107,7.47,4.4,3
Keith Randolph,DT,6.4,296,5.15,28.5,,105,,,8
Spencer Rattler,QB,6,211,4.95,32,,108,7.21,4.37,5
Andrew Raym,C,6.4,314,5.42,24.5,,95,,,8
Austin Reed,QB,6.2,220,4.82,,,,,,8
Ryan Rehkow,P,6.4,235,,,,,,,8
Will Reichard,K,6.1,187,,,,,,,6
Tip Reiman,TE,6.5,271,4.64,33.5,28,121,7.02,4.26,3
Brenden Rice,WR,6.2,208,4.5,36.5,13,119,,,7
Decamerion Richardson,CB,6.2,188,4.34,35,,128,,,4
Demani Richardson,SAF,6.1,210,4.6,31,,116,,,8
Chop Robinson,EDGE,6.3,254,4.48,34.5,,128,,4.25,8
Darius Robinson,EDGE,6.5,285,4.95,35,21,111,,,1
Keilan Robinson,RB,5.8,191,4.42,33,,125,,,5
Layden Robinson,G,6.4,302,,26.5,,111,,,4
Tayvion Robinson,WR,5.11,191,,,,,,,8
Justin Rogers,DT,6.3,330,,24.5,21,99,,4.87,7
Christian Roland-Wallace,CB,6,201,,,17,,,,8
Marcus Rosemy-Jacksaint,WR,6.1,195,,35,,119,,,8
Roger Rosengarten,OT,6.5,308,4.92,30,,113,,4.6,2
Walter Rouse,OT,6.6,313,,,,,,,6
Mike Sainristil,CB,5.9,182,4.47,40,14,131,6.99,4.01,2
Andre' Sam,SAF,5.11,191,4.59,36,,123,,,8
Nick Samac,C,6.4,307,,,,,,,7
Ja'Tavion Sanders,TE,6.4,245,4.69,,,,,4.32,4
Cody Schrader,RB,5.9,202,4.61,33,,,,,8
Will Shipley,RB,5.11,206,,,,,,,4
Jaden Shirden,RB,5.8,187,4.45,34.5,,117,,,8
Jaylin Simpson,SAF,6,179,4.45,39.5,,133,,,5
Ben Sinnott,TE,6.4,250,4.68,40,,126,6.82,4.23,2
Kedon Slovis,QB,6.3,223,4.55,30,,118,,,8
Ainias Smith,WR,5.9,190,,,21,,,,5
Maason Smith,DT,6.5,306,5.01,31,,108,7.62,4.69,2
Tykee Smith,SAF,5.1,202,4.46,36,,120,,,3
Chau Smith-Wade,CB,5.1,184,4.54,34.5,18,125,7.05,4.32,5
Javon Solomon,EDGE,6.1,246,4.72,37,23,119,,,5
Brevyn Spann.Ford,TE,6.7,260,4.77,31.5,,116,7.38,,8
Fabien Lovett Sr.,DT,6.4,314,,,,,,,8
Tarheeb Still,CB,6,189,4.52,38,,120,,,5
Cade Stover,TE,6.4,247,4.65,34.5,,117,,4.45,4
Kingsley Suamataia,OT,6.5,326,5.04,28,,110,,,2
Jalen Sundell,C,6.5,301,,,,,,,8
T'Vondre Sweat,DT,6.5,366,5.27,26,,98,,,2
Marques Tampa,CB,6.1,189,,,,,,,8
Leonard Taylor,DT,6.4,303,5.12,30,,109,7.81,,8
Tory Taylor,P,6.4,223,,,,,,,4
Dadrion Taylor-Demerson,SAF,5.1,197,4.41,38,,123,,,4
Nathan Thomas,OT,6.5,332,5.19,25,,107,8.01,,8
Brian Thomas,WR,6.3,209,4.33,38.5,11,126,,,1
Xavier Thomas,EDGE,6.2,244,4.62,32.5,26,120,,,5
Jamari Thrash,WR,6,188,4.46,34,,120,7.16,,5
Ro Torrence,CB,6.3,208,,,,,,,8
Jordan Travis,QB,6.1,200,,,,,,,5
Bralen Trice,EDGE,6.4,245,4.72,,,,,,3
Zion Tupuola.Fetui,EDGE,6.3,244,,,,,,,8
Charles Turner,C,6.4,303,,31,,109,7.88,4.62,8
Dallas Turner,EDGE,6.3,247,4.46,40.5,,127,,,1
David Ugwoegbu,EDGE,6.4,250,,31.5,21,,,,8
Edefuan Ulofoshio,LB,6.1,236,4.56,39.5,,128,,,5
Sione Vaki,SAF,5.11,210,4.62,39.5,20,125,,,4
Devaughn Vele,WR,6.4,203,4.47,36,,126,,,7
Jared Verse,EDGE,6.4,254,4.58,35,31,127,7.31,4.44,1
Kimani Vidal,RB,5.8,213,4.46,37.5,18,120,7.01,4.15,6
Devontez Walker,WR,6.2,193,4.36,40.5,,134,,,4
Caedan Wallace,OT,6.5,314,5.15,31,,116,,,3
Josh Wallace,CB,5.11,185,,34.5,13,120,,4.35,8
Trevin Wallace,LB,6.1,237,4.51,37.5,,127,,,3
Tahj Washington,WR,5.1,174,,35,,122,,,8
Malik Washington,WR,5.9,191,4.47,42.5,19,126,,,6
Nathaniel Watson,LB,6.2,233,4.63,31,,111,,,6
Eric Watts,EDGE,6.6,274,4.67,36.5,21,117,7.59,4.73,8
Ryan Watts,CB,6.3,208,4.53,40.5,,125,6.82,4.13,6
Xavier Weaver,WR,6,169,,,,,,,8
Jack Westover,TE,6.3,243,,,,,,,8
Jordan Whittington,WR,6.1,205,,,18,,,,6
Nate Wiggins,CB,6.1,173,4.28,36,,127,,,1
Jared Wiley,TE,6.6,249,4.62,37,,118,7.19,,4
Michael Wiley,RB,5.11,210,4.51,33.5,,119,,4.43,8
Caleb Williams,QB,6.1,214,,,,,,,1
Evan Williams,SAF,5.11,200,4.6,40.5,,126,,,4
Isaiah Williams,WR,5.9,182,4.63,38,17,123,6.75,,8
James Williams,SAF,6.4,231,4.65,30,,117,,,7
Miyan Williams,RB,5.9,229,,,,,,,8
Johnny Wilson,WR,6.6,231,4.52,37,,128,,4.11,6
Payton Wilson,LB,6.4,233,4.43,34.5,,119,,,3
Roman Wilson,WR,5.11,185,4.39,,12,,,,3
Mekhi Wingo,DT,6,284,4.85,31.5,25,109,,,6
Xavier Worthy,WR,5.11,165,4.21,41,,131,,,1
Jaylen Wright,RB,5.11,210,4.38,38,,134,,,4
Zak Zinter,G,6.6,309,,,,,,,3